Name_in_Tree,Total_Length,Body_Mass,Lifestyle,Diet,Diel,Body_Shape,Bioregion,Clade,Side,Side_Col,Genus,Month,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,alt,Best_Maxent_Model,avg_lambda_tip
Thamnophis_marcianus,1080,365.9,Terrestrial,Generalist,Cathemeral,Stocky,134,TMW,West,#DE524A,Thamnophis,May,26.1,4.4,45,1926,30.8,21.1,9.7,26.9,25.6,28.2,23.5,318,71,4,78,176,24,74,44,2,rm.1_fc.LQHP,0.144790159
Thamnophis_marcianus_praeocularis,1080,365.9,Terrestrial,Generalist,,Stocky,34,TMW,West,#DE524A,Thamnophis,NA,0,0,,,0,0,0,0,0,0,0,,,,,,,,,,,
Thamnophis_melanogaster,864,175.1,Aquatic,Aquatic_Generalist,Cathemeral,Stocky,3,TMX,West,#DE524A,Thamnophis,NA,14,15.5,64,2414,25.7,1.7,24,15.5,13.2,16.7,10.5,587,137,6,94,359,25,243,52,2693,rm.1_fc.LQHP,0.149843672
Thamnophis_mendax,710,91.6,Terrestrial,Generalist,NA,Stocky,13,TMX,West,#DE524A,Thamnophis,NA,18.3,14.2,59,3167,29.4,5.6,23.8,20.8,13.8,21.7,13.8,788,157,12,81,394,50,345,50,1554,rm.1_fc.LQ,
Thamnophis_nigronuchalis,767,118.2,Aquatic,Aquatic_Generalist,NA,Heavy_Bodied,3,TMX,West,#DE524A,Thamnophis,NA,12.8,14.3,60,3271,24.6,0.9,23.7,16.1,12.9,16.7,8.3,881,209,7,94,558,43,494,114,2481,rm.2_fc.LQ,0.148349274
Thamnophis_ordinoides,960,248,Terrestrial,Vermivorous,Diurnal,Slender,2,TWS,West,#DE524A,Thamnophis,May,7.2,9.9,41,5013,21.8,-2.3,24.1,1.8,13.8,14,1.4,2660,426,37,62,1248,185,200,1162,814,rm.2_fc.LQHP,
Thamnophis_postremus,595,112.4,Terrestrial,Generalist,Nocturnal,Slender,3,TMX,West,#DE524A,Thamnophis,NA,28.8,14.7,65,1775,40.1,17.5,22.6,29.8,28.8,31.1,26.3,662,148,1,108,429,5,160,18,288,rm.1_fc.LQHP,
Thamnophis_proximus,1230,562.3,Terrestrial,Generalist,Cathemeral,Slender,134,TES,East,#10A494,Thamnophis,April,25.5,7.2,60,1782,31,19,12,26.7,24.8,27.1,22.8,480,89,10,61,209,39,182,65,0,rm.1_fc.LQHP,0.138339195
Thamnophis_proximus_rutiloris,1230,562.3,Terrestrial,Generalist,,Slender,34,TES,East,#10A494,Thamnophis,NA,2.61,0.44,45,1926,3.08,2.11,0.97,2.69,2.56,2.82,2.35,318,71,4,78,176,24,74,44,2,rm.3_fc.L,
Thamnophis_pulchrilatus,772,120.7,Terrestrial,Generalist,Diurnal,Slender,3,TMX,West,#DE524A,Thamnophis,NA,12.6,14.2,65,1836,23.5,1.9,21.6,13.6,12.2,14.7,9.9,1220,272,8,100,757,36,278,49,2770,rm.2_fc.LQH,0.137782495
Thamnophis_radix,1095,383,Terrestrial,Generalist,Cathemeral,Stocky,12,TMW,East,#10A494,Thamnophis,May,8.7,13,29,10913,30.7,-13.6,44.3,22.3,-5.9,22.3,-5.9,461,63,13,46,184,46,184,46,538,rm.1_fc.LQHP,0.145626018
Thamnophis_rossmani,648,144.9,Terrestrial,Generalist,Cathemeral,Slender,3,TMX,West,#DE524A,Thamnophis,NA,23.1,13.3,65,2206,32.5,12.2,20.3,25.2,22.7,25.5,20.1,1273,333,2,117,930,16,809,72,575,rm.1_fc.LQH,
Thamnophis_rufipunctatus,1120,412.6,Aquatic,Aquatic_Generalist,Diurnal,Heavy_Bodied,3,TMX,West,#DE524A,Thamnophis,August,21,19.5,59,4674,36.4,3.6,32.8,25.2,19.2,26.3,14.6,365,92,2,103,243,10,221,24,1378,rm.1_fc.LQH,0.148415634
Thamnophis_sauritus,1016,299.1,Terrestrial,Generalist,Cathemeral,Slender,1,TES,East,#10A494,Thamnophis,April,6.1,10.7,28,9692,25.7,-12.3,38,-3.7,-1.5,18.1,-6.8,876,84,55,13,242,177,230,219,264,rm.1_fc.LQHP,0.138359043
Thamnophis_scalaris,601,115.8,Terrestrial,Generalist,Diurnal,Stocky,3,TMX,West,#DE524A,Thamnophis,NA,13.9,12.7,65,1991,23.5,4,19.5,15,12.2,16.2,11.1,1107,234,29,68,501,89,275,96,2293,rm.2_fc.LQH,0.153999949
Thamnophis_scaliger,420,39.8,Terrestrial,Generalist,Diurnal,Stocky,3,TMX,West,#DE524A,Thamnophis,NA,15.4,18,70,2092,27.1,1.4,25.7,17.3,12.4,17.6,12.4,583,115,5,86,326,20,273,20,2238,rm.3_fc.LQH,
Thamnophis_sirtalis_East,1400,862.3,Terrestrial,Generalist,Cathemeral,Stocky,1,TES,East,#10A494,Thamnophis,May,2.5,10.6,28,9396,20.8,-16.9,37.7,-1.9,-9,14.2,-10.1,1519,153,109,9,418,337,395,357,928,rm.1_fc.LQHP,0.138074632
Thamnophis_sirtalis_FL,1400,862.3,Terrestrial,Generalist,,Stocky,1,TES,East,#10A494,Thamnophis,April,19.4,13.5,46,6007,33.1,3.8,29.3,26.7,15.6,26.7,11.3,1392,169,63,24,455,248,455,349,58,rm.3_fc.H,
Thamnophis_sirtalis_West,1400,862.3,Terrestrial,Generalist,Cathemeral,Stocky,12,TES,West,#DE524A,Thamnophis,April,8.9,13.3,39,6924,28.4,-4.9,33.3,0.6,17.8,17.8,0.1,506,95,7,72,267,34,34,247,493,rm.1_fc.LQHP,0.137707755
Thamnophis_sumichrasti,756,112.7,Terrestrial,Generalist,NA,Slender,3,TMX,West,#DE524A,Thamnophis,NA,15.3,11.7,61,2248,24.5,5.5,19,16.1,13.1,17.9,12.1,1576,360,41,72,752,126,341,142,1985,rm.3_fc.LQH,0.152981406
Thamnophis_unilabialis,950,NA,Aquatic,Aquatic_Generalist,Diurnal,Heavy_Bodied,3,TMX,West,#DE524A,Thamnophis,NA,1.06,1.82,57,4731,2.61,-0.53,3.14,1.61,0.98,1.66,0.46,784,223,17,96,487,52,439,110,2576,rm.2_fc.LQHP,
Thamnophis_validus,1096,384.1,Aquatic,Aquatic_Generalist,Cathemeral,Heavy_Bodied,3,TMX,West,#DE524A,Thamnophis,NA,23.5,12.7,70,2023,31,13.1,17.9,25.7,22.3,25.7,20.7,1355,363,2,117,982,16,982,43,505,rm.1_fc.H,
Tropidoclonion_lineatum,570,44.3,Fossorial,Vermivorous,Cathemeral,Stout,12,TRP,East,#10A494,Tropidoclonion,April,18.7,11.9,34,7913,35.4,1.1,34.3,22.8,8.2,28.6,8.2,910,131,47,32,316,162,194,162,148,rm.1_fc.LQHP,0.128384416
Virginia_striatula,348,8.7,Fossorial,Vermivorous,Nocturnal,Stout,1,SMF,East,#10A494,Virginia,April,18.5,13.3,42,6471,33.6,2,31.6,22.2,9.7,26.3,9.7,814,105,40,31,265,137,216,137,552,rm.1_fc.LQHP,0.147086078
Virginia_valeriae,393,13,Fossorial,Vermivorous,Nocturnal,Stout,1,SMF,East,#10A494,Virginia,May,10,12.2,39,6903,25.1,-5.9,31,2.2,15.1,18.6,0.8,1961,200,136,9,541,442,477,513,1248,rm.1_fc.H,0.146942731
