"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30","Comp31","Comp32","Comp33","Comp34","Comp35","Comp36","Comp37","Comp38","Comp39","Comp40","Comp41","Comp42","Comp43","Comp44","Comp45","Comp46","Comp47","Comp48","Comp49","Comp50"
"Clonophis_kirtlandii",-0.00812221043198547,0.00243547978343831,-0.0055424026847036,-0.0040071785890539,0.000971654026237372,-6.76355608510546e-05,0.000334033972687095,-0.00219361019815189,-0.00167318504282026,0.000615673903445925,-0.000544967315579835,0.000131479002930821,-0.00030651794495893,0.000383720503251478,-0.000265128580617372,0.00162369747833216,-0.000666339928636838,0.000956423736866837,-0.000657713676350747,0.000425343442856725,0.000382050633314756,-0.000566632359923475,-0.000125943759490812,-0.000187068951405852,-0.00045562671392601,1.31235652035011e-05,0.000701599652028482,-0.000697902821951463,-7.59966262816172e-05,-7.78753728800572e-05,-0.000287723715126825,-0.000693608983745731,-0.000557878285628323,0.000374139815458606,0.00107334879057423,0.000351817103136928,-0.000586186452820022,-1.06080458160285e-06,-0.000111664508683813,-0.000185620245065726,-0.000147889103364137,-5.35286366699843e-05,-0.000134472520699846,-9.58894738072546e-05,-0.00017934444096829,-7.70512039803755e-05,-0.000154780893295891,0.000443364094093393,0.000109380509010018,1.56510646085006e-06
"Liodytes_alleni",0.00119087480726613,0.0132764513787686,0.00581429877819165,0.000829128448885701,0.000489861978818954,-0.00138823427919412,0.000385279974748942,-0.000466354520262574,0.00106191566573898,0.000649489963368714,-0.000626269582613177,-0.000901185884559144,-0.00276997550031121,0.00184308420418063,-0.000281793657661371,0.00221127068595106,-0.000936812558298151,-6.63348207704762e-05,-0.000182941387099527,0.00129719185804919,0.000264604230222383,-1.91911162016312e-05,0.00021625355915051,0.000776365970921295,-0.000549703321151702,7.73686713192067e-05,0.00022659316625487,0.000163948604311321,-0.000592582828441778,-0.000216581660937879,0.000125747908667181,-0.000147144735258607,-0.00040316020461914,0.000221445614876765,0.000462062324294593,-8.96301965095141e-05,-0.000468392072313825,-0.000597455702255116,-0.000197712711849002,-0.000196183720108192,-0.000145796628011446,0.000116744393338595,-5.84414546177872e-05,4.48941177006762e-05,-0.000267472450432395,5.16624154948015e-06,-0.000144897341675143,0.000467139392462134,0.000125366104956602,3.34295652475819e-06
"Liodytes_rigida",0.00385942000597334,0.00303506662522229,0.00448150906614088,-0.000273301354012339,-0.0024079945044255,-0.0013274369469918,-0.00391664584681164,-0.00104233708742422,-0.000204429498196481,0.00130321566617505,-0.00127074727385909,-0.00216555065351547,-0.00323918090845394,-0.000599910620315596,-0.000609797592683286,0.00144043528664613,-0.00124445777148653,7.77071843346372e-05,-0.000592085910041771,0.000794567104356713,-8.94964075683836e-06,0.000113438354253312,0.00031273972806541,0.000296951995987985,-0.000568934433609908,-7.197190015542e-05,0.000504663960102463,0.000152312471963632,-0.000696292145601128,-0.000230656454621231,-4.20027585684887e-05,-6.20613694798591e-05,-0.000370605262778412,0.000181973125246832,0.000338338008577782,8.31816952346419e-05,-0.000469776318769255,-0.00064755736668692,-0.000258439036676483,-0.000188265880787755,-0.000151737762159686,0.00016019412428648,-7.85591974385863e-05,2.73350622808046e-05,-0.000303512989305719,-7.85231455284323e-06,-0.00014897851334395,0.00047640107672132,0.000134181412195101,4.51306696821577e-06
"Nerodia_clarkii",0.000502613626148696,0.000671930737224781,0.00119335085968483,-0.0080534303747154,0.00301514020560747,-0.0037164860154405,5.57161441676307e-05,-0.000187547055539048,0.000240189251956467,0.00208095297882503,-0.000877412730963372,0.00127998416633068,-2.6516527015225e-05,0.00175494989472644,-0.00107165969874828,-0.00122799870728058,0.000133800487065247,0.00127775356293413,-0.000123774672657506,1.27485748875918e-05,-0.000386134240129422,-0.000855558662056325,0.000771578247005066,-0.000846683050811939,0.000439746699229331,-0.000573312037708003,0.000574892773150312,-2.77189153159319e-05,-0.000911858846809983,0.000160150709650675,-0.000135705157042099,-0.000214215363030776,0.000790334771289136,5.21971274186626e-06,3.49695308163844e-05,-0.000342195672879721,-0.000216795946331625,-4.11381962867607e-05,0.000167734681555497,9.0483721411038e-05,0.00015995484818416,0.000264286233820123,0.000320620958145892,0.000251268027602115,-0.000118327406975725,-0.000132964154971548,0.000131203822516022,-0.000256438221896276,-3.36409660834902e-05,-0.000281998425812452
"Nerodia_cyclopion",-0.00342464015816762,0.0139519746714056,-1.64081358264583e-05,-0.00376453636975439,-0.00546371289134617,0.00627059223019155,0.000488697527798505,0.00369794591334113,0.00807362805138773,0.00636142931874844,-0.00253047533625389,-0.000466746718128506,0.00217791465780464,-0.00192671932041292,0.00116572019638834,-0.00096356899516999,0.000631312924436781,-0.00111804371097869,-0.000333572418594998,7.93951705241316e-05,0.000101901426326761,0.000355415907795539,0.000259874783926997,-4.87977898923077e-05,5.71246853136848e-05,0.000233656966570396,0.000183923193962937,-0.000336493476012699,-0.000362190249574601,0.000572769640156787,0.00015142409032305,-4.55654449038732e-06,0.000126099918653744,-0.000455321430901233,-7.00108593161771e-05,-0.000409088135775762,-0.000210160470978579,0.000588707143696188,-0.000151033283786878,-0.00015616494346714,-0.000356523075824689,-8.30216464749718e-05,-8.69623869562079e-05,8.34417956767774e-05,4.74418643136718e-05,-2.52442976137874e-05,-3.14364225092245e-07,-0.000150288929793016,-2.46381372483838e-05,-0.000159086061518651
"Nerodia_erythrogaster",-0.00720032013037211,-0.00135028424574773,0.00259577110904951,-0.00423819558112474,-0.00122841227091042,-0.000229127685651766,1.02225386124843e-05,0.000156477265443478,-0.000803636466499496,-0.000554877696201898,-0.00108234186580669,-6.00098806287359e-05,0.00039387717681296,0.000549593864308915,-0.000769898156560394,-0.000506831821698586,0.00101990961574199,0.000165580242955149,-0.000286361166195542,2.47014851610548e-05,0.000163299386504628,-0.000962661628435772,5.47135627347124e-05,5.62339663086565e-05,-0.0002982243714341,-0.000603641182115199,0.000521731869445969,-0.000169842554759471,-0.000757718952648256,0.000373871261931446,0.000502831673200856,-0.000634975485671444,-0.000854210743670413,-0.000159670165744544,-0.000135172229425141,0.000144396420453026,0.000568670675368714,-0.000447393395966825,0.000384035174177766,-2.8775594333945e-05,-0.000357219708819566,0.000252920573248332,6.10299258259638e-06,0.000283729543871783,2.40460881784222e-06,-0.000172209651083057,0.000129567741968688,-0.000337230912486656,-5.90032546420226e-05,-0.000235160546743638
"Nerodia_fasciata",-0.00334650608096479,0.00282106112145227,0.0050413606935665,-0.0046374046436748,-0.00292738303705843,0.000372668746452746,-0.00167633363532477,-0.00084318784616972,0.00291713744328456,-0.000704379763574387,0.00132982062223879,0.00276086871031479,-0.00036862660304906,0.00152049037497392,-0.00285533613384702,-0.00120805779608191,0.000596655092652793,0.00129527893458589,-0.000547053773428428,-0.000251566735121049,0.00014514578572271,-0.000788814679803474,0.000688724123696951,-0.000837884265624171,0.00034817829242497,-0.000223832599162186,0.000574948508582973,9.69343741886102e-05,-0.000820401183434213,0.000157680953630508,-0.000265604548259335,-0.00013496401183543,0.000589566053892968,3.6887474516213e-05,0.000169130170188851,-0.000283819591456073,-0.000200224031704954,-5.02837532591434e-05,0.000196339621523728,8.58846095468246e-05,0.00015990426073389,0.000243049280135791,0.00033868872062635,0.000226933779763083,-0.000120074240267699,-0.000134435333316431,0.000122051216142408,-0.000260377611048438,-3.84234875079998e-05,-0.000276612182557548
"Nerodia_floridana",0.00476919554246286,0.00141549149550336,0.00562927347828342,-9.15195828771561e-05,-0.00309256621292497,-0.00402277886476508,-0.00222367201875067,0.000830528488699621,0.00171079439974256,0.000249125969947488,0.00109277604070955,0.000491000677874539,-6.13887562832733e-05,-0.000711320809954648,0.00179306287777302,-0.000969056396022785,0.00133068296376805,-0.00138414508784263,-0.000494701543079879,-3.97817483694948e-05,0.000758580263304796,0.00104809618761099,0.000435346615518248,-7.33136434553783e-06,-1.76763367948056e-05,0.000392587083123481,0.000418026547749801,-0.00039313210688135,-0.000609761470945162,0.000983185366922339,0.000298490101749367,-6.04550371045214e-05,0.000250225393252027,-0.000715506899141227,6.95068442222847e-06,-0.000532743776428484,-0.000353098722368207,0.000871304426612038,-0.000262917599235397,-0.000251421080140232,-0.000508422848742458,-0.00013642926518605,-0.000173790866219124,0.000149207683298493,9.21697837935521e-05,2.43385386752693e-05,-4.45255321576266e-06,-0.000149930123849414,-2.55850683098407e-05,-0.000174032300943447
"Nerodia_paucimaculata",0.0241840919871829,-0.00199594400619105,0.00703188140642752,-0.00161192395977556,0.00439681922327527,-0.00142470627297682,0.000936147772564294,0.00307828193497096,0.00119034357148516,-0.00153743540441976,-0.00311333868841323,0.000988928210801613,-1.4267148990827e-05,-1.21098331763219e-05,-0.00183150186947287,-0.0015978849312589,-0.000440802777618018,0.00135846114319763,-0.000593542461484085,-0.000102682445619181,-0.000272064057605916,-0.000126620603921631,0.00101177168549556,0.00107481834149714,5.03990055899779e-05,0.000184164542424681,0.000524069608995497,3.04591488668451e-05,-0.000320937141422006,0.000487707842146616,-5.35493415393691e-05,0.000208850897103823,-0.000123391991673449,1.40199335184099e-05,0.00027440221057487,0.000353847327094876,-0.000444151546149605,-1.00068909841093e-05,0.000326108479109253,9.42981622740578e-05,-2.09011290760582e-05,1.97079303102046e-06,0.000378892865873562,0.000174211385485177,-5.35871385175934e-05,-6.63386016603386e-05,0.00015208615801677,-0.000299003935770087,-9.51537555723666e-05,-0.000282440318584744
"Nerodia_rhombifer",0.0155062178621324,0.00284764861769396,0.00220281915849902,-0.001872924638191,-0.00289019767381667,-0.00443324889195378,0.000923645920448373,0.00229423307292835,0.00136995441181419,-0.000539150815705161,-0.000815348396354663,-0.000249704602975216,-0.00137198430933693,-0.00104218833691537,0.000171117916347017,-0.00198167965190183,-0.0005640108665559,-0.000154106560699916,-0.000584599101865313,-0.000184016059535432,0.000928484818594511,-0.000164453397236428,-0.000253053641217701,0.000870618628604864,-0.000150750545706586,0.000133178050573578,5.00508223258671e-05,1.20855059390571e-05,-0.000546928810483101,0.000103799072256282,0.000126638512639482,-0.000560136475113075,-0.000114908617529447,0.000236590009818428,-6.33728640949678e-05,-0.000667448892992998,0.000404074092300897,0.000541479076074985,0.000504730095278162,0.000628992051080828,0.000139811469399118,0.000293726866643602,0.00012607351561229,-0.000246061472623213,-6.32713038516005e-05,-0.000382826588517336,-2.7293470420079e-05,-0.000134348602666726,-5.00367379787262e-05,-0.000184552949205201
